Hypothesis,Id
The cat is taking a nap.,0
People are enjoying the outdoors.,1
A meal is being cooked.,2
The rain has stopped.,3
The teacher is giving a presentation.,4
The dog is playing fetch.,5
The sky is full of vibrant colors.,6
An experiment is being carried out.,7
Kids are playing in the sand.,8
The hiker successfully reached the top.,9
Someone is creating a painting.,10
A child is laughing on the swing.,11
Cars are driving on the road.,12
People are having a dance party.,13
The room is filled with warmth.,14
Plans for construction are being made.,15
The wind is gently blowing.,16
Someone is celebrating a birthday.,17
The flowers are seeking sunlight.,18
Someone is completing a race.,19
People are eating outdoors.,20
Microscopic examination is taking place.,21
Kids are enjoying the fair rides.,22
Someone is performing music.,23
The library has organized bookshelves.,24
Bread has been baked.,25
Someone is tending to the garden.,26
The child is amused by the toy.,27
The couple is enjoying a romantic stroll.,28
Instruction is being provided in the classroom.,29
Coffee is being prepared.,30
Someone is flying a colorful kite.,31
A wedding celebration is happening.,32
Someone is performing a rescue operation.,33
Someone is scoring points in basketball.,34
Vehicle maintenance is taking place.,35
Chemical substances are being combined.,36
Kids are playing in the snow.,37
Food is being garnished.,38
Someone is working on a literary piece.,39
Pool safety is being monitored.,40
Construction is in progress.,41
Someone is showcasing juggling skills.,42
Baking activities are happening.,43
Ants are being studied.,44
Someone is playing with bubbles.,45
Sheep are being guided by a farmer.,46
Music is being performed on a piano.,47
Dental examination is taking place.,48
Food is being served.,49
Classroom participation is happening.,50
Artwork is being painted on a wall.,51
Bicycle riding instruction is underway.,52
A celebration is in progress.,53
Surgical procedure is underway.,54
Someone is embracing a dog.,55
Nectar is being gathered by a bee.,56
Geological analysis is taking place.,57
A photograph is being taken.,58
Team encouragement is happening.,59
Tailoring work is in progress.,60
Tourism and education are combined.,61
Balloons are being sold.,62
Medication is being provided.,63
Emergency response is happening.,64
Chemical reaction is occurring.,65
Orchestral performance is happening.,66
Educational assistance is given.,67
Vegetables are being prepared.,68
Firefighting operation is underway.,69
Artistic sculpting is occurring.,70
Parent-child bonding is happening.,71
Soccer gameplay is occurring.,72
Patient care is being provided.,73
Apple picking is underway.,74
Construction equipment is in use.,75
Dance performance is happening.,76
Haircutting service is provided.,77
Astronomical observation is happening.,78
Swimming instruction is underway.,79
Socializing around the fire.,80
Mural painting is happening.,81
Pre-game preparation is happening.,82
Flower arrangement is taking place.,83
Scientific experimentation is happening.,84
Jazz music performance is happening.,85
Educational experiment is happening.,86
Pancake cooking is underway.,87
Firefighter training is happening.,88
Artistic sculpting is occurring.,89
Parent-child bonding is happening.,90
Soccer gameplay is occurring.,91
Patient support is being provided.,92
Egg collection is happening.,93
Welding work is happening.,94
Dance performance is happening.,95
Haircutting service is provided.,96
Data analysis is underway.,97
Skateboarding instruction is happening.,98
Socializing around the fire.,99
Astronomical research is underway.,100
Enjoying outdoor activities.,101
Chemical experiment is happening.,102
Culinary creativity is showcased.,103
Celebrating a triumphant win.,104
Pottery creation is taking place.,105
Engaging in educational crafting.,106
Butterfly migration study is underway.,107
Mindful relaxation.,108
Jewelry craftsmanship.,109
Life-saving medical procedure.,110
Chainsaw carving artistry.,111
Expert piloting.,112
Particle physics investigation.,113
Community service.,114
Creative fashion design.,115
Marine mammal observation.,116
Adventurous climbing.,117
