premise,Id
The cat is sleeping on the windowsill.,0
A group of friends is playing soccer in the park.,1
The chef is preparing a delicious meal in the kitchen.,2
A bright rainbow stretches across the sky after the rain.,3
The students are listening attentively during the lecture.,4
A dog is chasing a frisbee in the park.,5
A beautiful sunset paints the sky with orange and pink hues.,6
The scientist is conducting an experiment in the laboratory.,7
Children are building sandcastles on the beach.,8
A hiker reaches the summit of a mountain and enjoys the view.,9
An artist is painting a landscape on a canvas.,10
A parent is pushing a child on a swing at the playground.,11
Traffic is moving smoothly on the highway.,12
A group of people is dancing in a ballroom.,13
A cozy fireplace warms up the living room.,14
An architect is drawing blueprints for a new building.,15
Leaves rustle as the breeze passes through the trees.,16
A child is blowing out candles on a birthday cake.,17
Sunflowers are facing the sun in a garden.,18
An athlete is crossing the finish line with arms raised.,19
A family is having a picnic in the park.,20
A scientist is looking through a microscope at a specimen.,21
Children are riding on a carousel at the fair.,22
A musician is playing the guitar on stage.,23
Rows of books are neatly arranged on the library shelves.,24
A baker is taking freshly baked bread out of the oven.,25
A gardener is planting flowers in a flowerbed.,26
A baby is giggling while playing with a teddy bear.,27
A couple is walking hand in hand on the beach at sunset.,28
A teacher is writing on the chalkboard during a lesson.,29
A barista is making a cappuccino at the coffee shop.,30
A child is flying a kite in the park.,31
A bride and groom are dancing at their wedding.,32
A firefighter is rescuing a cat from a tree.,33
A basketball player is making a slam dunk.,34
A mechanic is repairing a car's engine.,35
A scientist is mixing chemicals in the lab.,36
Children are building a snowman in the yard.,37
A chef is garnishing a dish with fresh herbs.,38
A writer is typing on a typewriter to finish a novel.,39
A lifeguard is watching over swimmers at the pool.,40
A construction worker is hammering nails into a wooden frame.,41
A street performer is juggling colorful balls.,42
A mother and daughter are baking cookies in the kitchen.,43
A scientist is observing the behavior of ants.,44
A child is blowing bubbles and chasing them in the air.,45
A farmer is herding sheep in a green pasture.,46
A pianist is playing a grand piano in a concert hall.,47
A dentist is examining a patient's teeth.,48
A waiter is serving a plate of delicious food.,49
A student is raising their hand to ask a question in class.,50
A street artist is creating a mural on a city wall.,51
A parent is teaching their child to ride a bicycle.,52
A group of friends is toasting with glasses of champagne.,53
A surgeon is operating on a patient in the operating room.,54
A child is hugging a puppy in the park.,55
A bee is collecting nectar from a flower.,56
A scientist is examining a rock under a microscope.,57
A photographer is capturing a stunning landscape.,58
A coach is giving a motivational speech to the sports team.,59
A tailor is sewing a custom-made suit.,60
A tour guide is leading a group of tourists through a museum.,61
A street vendor is selling colorful balloons to children.,62
A pharmacist is counting and dispensing medication.,63
A lifeguard is rescuing a swimmer in distress.,64
A scientist is mixing chemicals in a lab.,65
A musician is playing the violin in an orchestra.,66
A teacher is helping a student with their assignment.,67
A chef is slicing vegetables for a stir-fry dish.,68
A firefighter is extinguishing flames in a building.,69
A sculptor is shaping a block of marble into a statue.,70
A parent is helping their child fly a kite in the park.,71
A soccer player is dribbling the ball down the field.,72
A nurse is caring for a patient in a hospital bed.,73
A farmer is harvesting ripe apples from the orchard.,74
A construction worker is operating a crane on a building site.,75
A dancer is performing a graceful ballet routine.,76
A barber is giving a customer a haircut at the salon.,77
A scientist is observing a rare astronomical event through a telescope.,78
A parent is teaching their child how to swim in the pool.,79
A group of friends is laughing and chatting around a campfire.,80
A painter is creating a mural on an outdoor wall.,81
A coach is giving instructions to a team before the game.,82
A florist is arranging a bouquet of fresh flowers.,83
A scientist is conducting a physics experiment in a lab.,84
A musician is playing a saxophone in a jazz band.,85
A teacher is guiding students through a science experiment.,86
A chef is flipping pancakes on a hot griddle.,87
A firefighter is rappelling down a building during a drill.,88
A sculptor is chiseling a piece of marble into a statue.,89
A parent is helping their child build a sandcastle on the beach.,90
A soccer player is taking a penalty kick during a match.,91
